name,canton,population,latitude,longitude,elevation
Zurich,Zurich,415215,47.3769,8.5472,408
Genf,Genf,190637,46.2022,6.1432,375
Basel,Basel-Stadt,173863,47.5596,7.5886,260
Bern,Bern,133115,46.9479,7.4474,541
Lausanne,Waadt,140099,46.5197,6.6323,372
Winterthur,Zurich,114186,47.5,8.725,439
Luzern,Luzern,81859,47.0502,8.3093,434
Sankt Gallen,Sankt Gallen,76458,47.4229,9.3767,661
Lugano,Tessin,63335,46.0051,8.9463,273
Biel/Bienne,Bern,54762,47.1384,7.2474,426
Thun,Bern,43743,46.7569,7.6253,559
Koeniz,Bern,42089,46.9055,7.4397,560
Chur,Graubuenden,33395,46.8547,9.5302,596
Davos,Graubuenden,11165,46.8055,9.8355,1560
Klosters,Graubuenden,4050,46.8869,9.8736,1180
Arosa,Graubuenden,2832,46.7794,9.8339,1739
Ilanz,Graubuenden,3002,46.8675,9.0936,655
Disentis,Graubuenden,2700,46.6578,8.6789,1186
Tiefencastel,Graubuenden,1500,46.6411,9.5628,1087
Thusis,Graubuenden,2120,46.6545,9.4167,701
Sils,Graubuenden,1650,46.4461,10.3389,1797
Pontresina,Graubuenden,2270,46.4961,10.4939,1805
Sankt Moritz,Graubuenden,3192,46.498,10.3344,1856
Filisur,Graubuenden,895,46.5961,9.7256,1131
Preda,Graubuenden,290,46.5614,9.7736,1730
Berguen,Graubuenden,445,46.6236,9.8575,1388
Fideris,Graubuenden,1189,46.9425,9.8236,1085
Felberthal,Graubuenden,340,46.8928,10.0264,1515
Schiers,Graubuenden,1800,46.9575,9.7264,1023
Jenins,Graubuenden,890,46.9611,9.6625,1068
Seewis im Prättigau,Graubuenden,1755,46.9886,9.6364,1098
Langwies,Graubuenden,1280,47.0169,9.6933,1078
Serneus,Graubuenden,1350,47.0486,9.8022,1410
Fribourg,Freiburg,38267,46.805,7.1605,629
Schaffhausen,Schaffhausen,36958,47.6973,8.6361,364
Neuenburg,Neuenburg,31915,47.001,6.9325,429
Uster,Zurich,36476,47.3398,8.7065,480
Sitten,Wallis,34399,46.2181,7.5632,482
Wetzikon,Zurich,25571,47.3239,8.7954,533
Montreux,Waadt,26778,46.4334,6.9118,372
Rapperswil-Jona,Sankt Gallen,27865,47.2286,8.8149,407
Duebendorf,Zurich,28889,47.406,8.6112,440
Kriens,Luzern,30206,47.055,8.3025,456
Zug,Zug,30261,47.1733,8.517,424
Affoltern am Albis,Zurich,20098,47.2856,8.4697,494
Altstetten,Zurich,24851,47.3742,8.4661,410
Wil,Sankt Gallen,24303,47.4791,8.7431,610
Wadenswil,Zurich,23020,47.2122,8.6847,410
Kilchberg,Zurich,14068,47.2908,8.5653,435
Adliswil,Zurich,18816,47.3031,8.5178,445
